 # DUMP format #2, bez=mcbxh.1r1       , number of particles=           2
 # dump period=           1 , first turn=           1 , last turn=          -1
 # ID turn s[m] x[mm] xp[mrad] y[mm] yp[mrad] z[mm] dE/E[1] ktrack
        1       15  26629.04120  2.175877110E+00 -1.669957022E-01 -1.103168541E+01 -1.763015063E-01  2.549246918E+01 -2.240275426E-04       11
        2       15  26629.04120 -8.611997207E+00  6.070702486E-01 -4.670225317E+00 -7.974796953E-02 -5.695553219E+01 -6.305988104E-04       11
        1       16     29.84200 -2.125073796E+00  3.644206551E-02  1.565412642E+01  1.128377644E+00  2.548521411E+01 -2.240349374E-04       11
        2       16     29.84200  5.262868005E+00 -6.984723983E-02  6.672667221E+00  4.805329353E-01 -5.695885574E+01 -6.306062021E-04       11
        1       16  13359.13123  3.085456307E+00 -6.268558059E-02 -5.061541050E+00 -3.750631343E-01  2.641690503E+01 -2.162776028E-04       11
        2       16  13359.13123  9.288694767E+00 -1.510220166E-01  1.186165564E+00  7.239783276E-02 -5.430396795E+01 -6.464420499E-04       11
        1       16  26629.04120  7.371992288E+00 -5.482572493E-01  3.615833420E-01  1.492464742E-03  2.732626957E+01 -2.162776028E-04       11
        2       16  26629.04120  3.969513598E+00 -2.977786033E-01 -1.919439531E+00 -3.841029355E-02 -5.161864852E+01 -6.464420499E-04       11
        1       17     29.84200 -6.178330837E+00  1.070742503E-01 -1.609076216E-01 -1.585778991E-02  2.732439434E+01 -2.162849996E-04       11
        2       17     29.84200 -3.472321484E+00  5.886836406E-02  2.757675890E+00  1.984129782E-01 -5.161958046E+01 -6.464494436E-04       11
        1       17  13359.13123 -2.944603833E+00  3.731162670E-02  1.129496875E+01  8.008446204E-01  2.822034485E+01 -2.079995295E-04       11
        2       17  13359.13123  1.656396467E+00 -3.940428350E-02  3.233367540E+00  2.184196070E-01 -4.889099920E+01 -6.608287698E-04       11
        1       17  26629.04120 -9.182921092E+00  6.453982356E-01  7.340873881E-01 -4.436055204E-03  2.909618641E+01 -2.079995295E-04       11
        2       17  26629.04120  4.170054135E+00 -3.177219025E-01 -3.459299457E+00 -6.403213633E-02 -4.614742821E+01 -6.608287698E-04       11
        1       18     29.84200  5.508864787E+00 -6.960228879E-02 -1.362127173E+00 -9.430824783E-02  2.909396742E+01 -2.080069284E-04       11
        2       18     29.84200 -3.933090979E+00  7.360970907E-02  4.805007302E+00  3.476908040E-01 -4.614892530E+01 -6.608361654E-04       11
        1       18  13359.13123  8.706422790E+00 -1.376258524E-01 -2.139110541E+00 -1.730188459E-01  2.995553714E+01 -1.992151711E-04       11
        2       18  13359.13123 -1.107293361E+00  1.018060479E-02 -6.885299078E-01 -6.460582845E-02 -4.336063658E+01 -6.736941948E-04       11
        1       18  26629.04120 -2.269759554E+00  1.536679479E-01 -1.085930859E+01 -1.754970813E-01  3.079404479E+01 -1.992151711E-04       11
        2       18  26629.04120 -8.671633404E+00  6.098737126E-01 -4.929938728E+00 -8.411531088E-02 -4.056206326E+01 -6.736941948E-04       11
        1       19     29.84200  1.020435293E+00 -1.128065452E-02  1.530396373E+01  1.104399078E+00  3.078714481E+01 -1.992225720E-04       11
        2       19     29.84200  5.216866441E+00 -6.702357214E-02  7.016060823E+00  5.056067191E-01 -4.056554003E+01 -6.737015923E-04       11
        1       19  13359.13123  6.163283964E+00 -1.090170296E-01 -7.226649172E+00 -5.320532560E-01  3.160982268E+01 -1.899508175E-04       11
        2       19  13359.13123  8.648461006E+00 -1.392924789E-01  4.938558765E-01  2.243625128E-02 -3.773329194E+01 -6.849805854E-04       11
        1       19  26629.04120  9.290485054E+00 -6.848565773E-01 -1.582286304E+00 -2.729692260E-02  3.240886790E+01 -1.899508175E-04       11
        2       19  26629.04120  6.328572571E-01 -5.671106481E-02 -2.189910339E+00 -4.211652224E-02 -3.488787287E+01 -6.849805854E-04       11
        1       20     29.84200 -7.432488619E+00  1.235849891E-01  2.627188687E+00  1.847502910E-01  3.240588221E+01 -1.899582205E-04       11
        2       20     29.84200 -1.091723590E+00  2.220843327E-02  3.163858664E+00  2.274321474E-01 -3.488836371E+01 -6.849879848E-04       11
        1       20  13359.13123 -3.648228818E+00  4.536533174E-02  1.037848863E+01  7.360146030E-01  3.318921939E+01 -1.802294359E-04       11
        2       20  13359.13123  4.213646703E+00 -7.865289296E-02  3.488391295E+00  2.371335670E-01 -3.200383682E+01 -6.946367146E-04       11
        1       20  26629.04120 -6.171046572E+00  4.269118817E-01  2.224855886E+00  1.944296743E-02  3.395017553E+01 -1.802294359E-04       11
