 # DUMP format #2, bez=mcbxh.1r1       , number of particles=           2
 # dump period=         100 , first turn=           1 , last turn=          -1
 # ID turn s[m] x[mm] xp[mrad] y[mm] yp[mrad] z[mm] dE/E[1] ktrack
        2     1501  13359.13123  3.399225343E+00 -6.143432603E-02  6.255012197E-01  3.090177887E-02 -4.218884868E+01 -9.494417873E-05       11
        1     1501  26629.04120 -6.118315697E-01  2.977160751E-02 -3.504211424E+00 -6.290818347E-02 -4.178444546E+01 -9.494417916E-05       11
        2     1501  26629.04120 -6.117970322E-01  2.976911601E-02 -3.504211601E+00 -6.290818608E-02 -4.178444556E+01 -9.494417873E-05       11
        1     1601     29.84200 -5.281154397E-01  1.796460544E-02  5.140343014E+00  3.705459828E-01 -2.377754360E+01  2.282537943E-04       11
        2     1601     29.84200 -5.281092296E-01  1.796449015E-02  5.140343231E+00  3.705459984E-01 -2.377754356E+01  2.282537950E-04       11
        1     1601  13359.13123  3.431539142E+00 -6.182794947E-02  3.634287421E-01  1.201751531E-02 -2.473181667E+01  2.209893678E-04       11
        2     1601  13359.13123  3.431547874E+00 -6.182810173E-02  3.634286833E-01  1.201751117E-02 -2.473181663E+01  2.209893684E-04       11
        1     1601  26629.04120 -6.293021503E-01  3.112897652E-02 -3.563990092E+00 -6.372459529E-02 -2.563298547E+01  2.209893678E-04       11
        2     1601  26629.04120 -6.292686041E-01  3.112655573E-02 -3.563989965E+00 -6.372459327E-02 -2.563298545E+01  2.209893684E-04       11
        1     1701     29.84200 -5.263045104E-01  1.795157496E-02  5.130664840E+00  3.698641081E-01  3.176835562E+01  1.887078435E-04       11
        2     1701     29.84200 -5.262980895E-01  1.795145660E-02  5.130665375E+00  3.698641466E-01  3.176835573E+01  1.887078433E-04       11
        1     1701  13359.13123  3.432199216E+00 -6.184067288E-02  3.841219441E-01  1.350323041E-02  3.096300148E+01  1.979081373E-04       11
        2     1701  13359.13123  3.432208291E+00 -6.184083018E-02  3.841215348E-01  1.350320107E-02  3.096300160E+01  1.979081371E-04       11
        1     1701  26629.04120 -6.316984630E-01  3.129767589E-02 -3.566613491E+00 -6.377447027E-02  3.015720195E+01  1.979081373E-04       11
        2     1701  26629.04120 -6.316648227E-01  3.129524852E-02 -3.566613388E+00 -6.377446840E-02  3.015720205E+01  1.979081371E-04       11
        1     1801     29.84200 -5.450679402E-01  1.841099204E-02  5.049176741E+00  3.640683853E-01  3.836579418E+01 -1.395779728E-04       11
        2     1801     29.84200 -5.450644155E-01  1.841091748E-02  5.049177170E+00  3.640684165E-01  3.836579415E+01 -1.395779736E-04       11
        1     1801  13359.13123  3.389011487E+00 -6.126379954E-02  6.499934455E-01  3.265718716E-02  3.893653889E+01 -1.281962079E-04       11
        2     1801  13359.13123  3.389019042E+00 -6.126393441E-02  6.499927246E-01  3.265713518E-02  3.893653887E+01 -1.281962087E-04       11
